,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission
1128,Toyota,2017.0,Foreign Used,101103.0,1800.0,Petrol,Automatic
1129,Toyota,2006.0,Foreign Used,136201.0,2500.0,Petrol,Automatic
1130,Toyota,2012.0,Foreign Used,78080.0,2800.0,Petrol,Automatic
1131,Toyota,2006.0,Nigerian Used,206432.0,3300.0,Petrol,Automatic
1132,Ford,2007.0,Nigerian Used,127500.0,4000.0,Petrol,Automatic
1133,Toyota,2013.0,Foreign Used,74142.0,1800.0,Petrol,Automatic
1134,Hyundai,2016.0,Foreign Used,194783.0,2400.0,Petrol,Automatic
1135,Toyota,2003.0,Nigerian Used,199651.0,4000.0,Petrol,Automatic
1136,Toyota,2010.0,Nigerian Used,87786.0,2400.0,Petrol,Automatic
1137,Toyota,2004.0,Nigerian Used,345811.0,3300.0,Petrol,Automatic
1138,Ford,2008.0,Foreign Used,298967.0,5400.0,Petrol,Automatic
1140,Toyota,2013.0,Foreign Used,74142.0,1800.0,Petrol,Automatic
1142,Toyota,2012.0,Nigerian Used,370677.0,2500.0,Petrol,Automatic
1144,Toyota,2009.0,Foreign Used,207347.0,1800.0,Petrol,Automatic
1145,Hummer,2005.0,Nigerian Used,139809.0,6000.0,Petrol,Automatic
1146,Hyundai,2012.0,Nigerian Used,259708.0,2000.0,Petrol,Automatic
1147,Lexus,2005.0,Nigerian Used,134607.0,4500.0,Petrol,Automatic
1148,Toyota,2012.0,Foreign Used,78080.0,2800.0,Petrol,Automatic
1149,Hyundai,2016.0,Nigerian Used,191019.0,2400.0,Petrol,Automatic
1151,Chevrolet,2000.0,Foreign Used,319491.0,2200.0,Petrol,Manual
1152,Toyota,2007.0,Nigerian Used,102334.0,2400.0,Petrol,Automatic
1153,MG,2003.0,Nigerian Used,105744.0,1800.0,Diesel,Automatic
1154,Toyota,2009.0,Foreign Used,167190.0,1800.0,Petrol,Automatic
1155,Toyota,2015.0,Foreign Used,236022.0,1800.0,Petrol,Automatic
1156,Hyundai,2015.0,Foreign Used,172745.0,2400.0,Petrol,Automatic
1157,Dodge,2012.0,Nigerian Used,190880.0,3500.0,Petrol,Automatic
1158,Honda,2010.0,Nigerian Used,308710.0,1300.0,Petrol,Automatic
1159,Toyota,2013.0,Foreign Used,88055.0,2500.0,Petrol,Automatic
1160,Toyota,2007.0,Nigerian Used,81254.0,3500.0,Petrol,Automatic
1161,Toyota,2005.0,Nigerian Used,98692.0,2400.0,Petrol,Automatic
1162,Ford,2012.0,Nigerian Used,226281.0,3500.0,Petrol,Automatic
1163,Toyota,2007.0,Nigerian Used,163559.0,3500.0,Petrol,Automatic
1164,Acura,2008.0,Nigerian Used,158238.0,2300.0,Petrol,Automatic
1165,Hyundai,2011.0,Foreign Used,138548.0,2400.0,Petrol,Automatic
1166,Hyundai,2014.0,Foreign Used,112615.0,2400.0,Petrol,Automatic
1167,Hyundai,2015.0,Nigerian Used,180020.0,2400.0,Petrol,Automatic
1168,Toyota,2009.0,Nigerian Used,124173.0,2400.0,Petrol,Automatic
1169,Hyundai,2018.0,Foreign Used,134257.0,1800.0,Petrol,Automatic
1170,Toyota,2013.0,Nigerian Used,78485.0,3500.0,Petrol,Automatic
1171,Lexus,2004.0,Nigerian Used,254872.0,3300.0,Petrol,Automatic
1173,Land Rover,2014.0,Foreign Used,204656.0,3500.0,Petrol,Automatic
1174,Toyota,2010.0,Foreign Used,93012.0,1800.0,Petrol,Automatic
1175,Toyota,2009.0,Foreign Used,306514.0,1800.0,Petrol,Automatic
1176,Hyundai,2016.0,Nigerian Used,77842.0,2400.0,Petrol,Automatic
1177,Hyundai,2016.0,Nigerian Used,191019.0,2400.0,Petrol,Automatic
1178,Toyota,2012.0,Nigerian Used,82882.0,2500.0,Petrol,Automatic
1179,Hyundai,2015.0,Nigerian Used,71181.0,1600.0,Petrol,Automatic
1180,Toyota,2007.0,Nigerian Used,290721.0,3500.0,Petrol,Automatic
1181,Hyundai,2012.0,Foreign Used,132315.0,2400.0,Petrol,Automatic
1182,Lexus,2004.0,Foreign Used,144353.0,3300.0,Petrol,Automatic
1183,Dodge,2008.0,Nigerian Used,2870739.0,3500.0,Petrol,Automatic
1184,Toyota,2011.0,Foreign Used,199390.0,1800.0,Petrol,Automatic
1185,Hyundai,2015.0,Nigerian Used,180020.0,2400.0,Petrol,Automatic
1186,Toyota,2005.0,Nigerian Used,98692.0,2400.0,Petrol,Automatic
1187,Infiniti,2004.0,Nigerian Used,101828.0,4500.0,Petrol,Automatic
1188,Toyota,2004.0,Nigerian Used,184240.0,3300.0,Petrol,Automatic
1189,Hyundai,2015.0,Nigerian Used,86960.0,3300.0,Petrol,Automatic
1190,Ford,2010.0,Nigerian Used,280188.0,3000.0,Petrol,Automatic
1192,Toyota,2007.0,Nigerian Used,219127.0,2400.0,Petrol,Automatic
1193,Hyundai,2015.0,Foreign Used,122448.0,2400.0,Petrol,AMT
1194,Toyota,2011.0,Nigerian Used,163716.0,2400.0,Petrol,Automatic
1195,Toyota,2007.0,Nigerian Used,188877.0,2400.0,Petrol,Automatic
1196,Toyota,2013.0,Foreign Used,88055.0,2500.0,Petrol,Automatic
1197,Toyota,2009.0,Foreign Used,92602.0,1800.0,Petrol,Automatic
1198,Lexus,2005.0,Nigerian Used,76060.0,3300.0,Petrol,Automatic
1199,Ford,2010.0,Foreign Used,463172.0,3000.0,Petrol,Automatic
1201,Toyota,2009.0,Nigerian Used,169361.0,3600.0,Petrol,Automatic
1202,Ford,2009.0,Nigerian Used,11096.0,3500.0,Petrol,Automatic
1203,Toyota,2012.0,Nigerian Used,143200.0,2500.0,Petrol,Automatic
1204,Toyota,2011.0,Foreign Used,199390.0,1800.0,Petrol,Automatic
1205,Lexus,2008.0,Nigerian Used,100098.0,3500.0,Petrol,Automatic
1206,Land Rover,2007.0,Nigerian Used,185503.0,4200.0,Petrol,Automatic
1207,Toyota,2002.0,Nigerian Used,196880.0,5600.0,Petrol,Automatic
1208,Lexus,2004.0,Nigerian Used,195760.0,3300.0,Petrol,Automatic
1209,Toyota,2008.0,Nigerian Used,308809.0,3500.0,Petrol,Automatic
1210,Hyundai,2014.0,Foreign Used,112615.0,2400.0,Petrol,Automatic
1211,Toyota,2007.0,Nigerian Used,91854.0,2400.0,Petrol,Automatic
1212,Lexus,2006.0,Nigerian Used,310182.0,3000.0,Petrol,Automatic
1213,Toyota,2008.0,Nigerian Used,211165.0,3500.0,Petrol,Automatic
1214,Lexus,2007.0,Nigerian Used,228749.0,2500.0,Petrol,Automatic
1215,Lexus,2010.0,Nigerian Used,163603.0,3500.0,Petrol,Automatic
1217,Toyota,2010.0,Nigerian Used,87786.0,2400.0,Petrol,Automatic
1218,Land Rover,2014.0,Foreign Used,204656.0,3500.0,Petrol,Automatic
1219,Toyota,2004.0,Nigerian Used,138325.0,4700.0,Petrol,Automatic
1220,Lexus,2005.0,Nigerian Used,152784.0,2500.0,Petrol,Automatic
1221,Acura,2009.0,Nigerian Used,10351.0,3500.0,Petrol,Automatic
1222,Lexus,2004.0,Nigerian Used,106126.0,3300.0,Petrol,Automatic
1223,Mercedes-Benz,2007.0,Foreign Used,305375.0,3500.0,Petrol,Automatic
1224,Toyota,2009.0,Foreign Used,306514.0,1800.0,Petrol,Automatic
1225,Acura,2007.0,Nigerian Used,354807.0,3700.0,Petrol,Automatic
1226,Toyota,2010.0,Foreign Used,93012.0,1800.0,Petrol,Automatic
1227,Toyota,2009.0,Nigerian Used,256020.0,2400.0,Petrol,Automatic
1228,Ford,2010.0,Nigerian Used,83505.0,1600.0,Petrol,Automatic
1229,Toyota,2011.0,Nigerian Used,145611.0,3500.0,Petrol,Automatic
1230,Lexus,2002.0,Foreign Used,194524.0,3300.0,Petrol,Automatic
1231,Hyundai,2012.0,Foreign Used,180555.0,1800.0,Petrol,Automatic
1232,Nissan,2008.0,Foreign Used,113279.0,3500.0,Petrol,Automatic
1233,MG,2003.0,Nigerian Used,105744.0,1800.0,Diesel,Automatic
1234,Lexus,2007.0,Foreign Used,259837.0,3500.0,Petrol,Automatic
1238,Lexus,2002.0,Nigerian Used,125060.0,3000.0,Petrol,Automatic
1239,Ford,2010.0,Nigerian Used,280188.0,3000.0,Petrol,Automatic
1240,Toyota,2008.0,Nigerian Used,211165.0,3500.0,Petrol,Automatic
1241,Toyota,2004.0,Nigerian Used,258147.0,3300.0,Petrol,Automatic
1243,Toyota,2012.0,Nigerian Used,34224.0,3500.0,Petrol,Automatic
1244,Lexus,2005.0,Nigerian Used,76060.0,3300.0,Petrol,Automatic
1245,Toyota,2009.0,Nigerian Used,136477.0,1800.0,Petrol,Automatic
1246,Toyota,2007.0,Nigerian Used,102334.0,2400.0,Petrol,Automatic
1247,Ford,2009.0,Nigerian Used,11096.0,3500.0,Petrol,Automatic
1248,Toyota,2011.0,Nigerian Used,57764.0,1800.0,Petrol,Automatic
1249,Toyota,2005.0,Nigerian Used,436987.0,1600.0,Petrol,Automatic
1250,Lexus,2004.0,Nigerian Used,195760.0,3300.0,Petrol,Automatic
1251,Toyota,2008.0,Foreign Used,166063.0,2400.0,Petrol,Automatic
1252,Acura,2008.0,Nigerian Used,186539.0,3700.0,Petrol,Automatic
1253,Toyota,2009.0,Nigerian Used,240394.0,1800.0,Petrol,Automatic
1255,Mercedes-Benz,2013.0,Nigerian Used,82908.0,3500.0,Petrol,Automatic
1256,Toyota,2009.0,Nigerian Used,120332.0,2400.0,Petrol,Automatic
1257,Mercedes-Benz,2006.0,Foreign Used,242654.0,5000.0,Petrol,Automatic
1258,Pontiac,2009.0,Foreign Used,246153.0,1800.0,Petrol,Automatic
1259,Chrysler,2013.0,Foreign Used,182823.0,2400.0,Petrol,Automatic
1260,Lexus,2009.0,Nigerian Used,1530065.0,3500.0,Petrol,Automatic
1261,Toyota,2012.0,Foreign Used,89735.0,1800.0,Petrol,Automatic
1262,Infiniti,2006.0,Nigerian Used,169239.0,5600.0,Petrol,Automatic
1263,Ford,2013.0,Nigerian Used,99988.0,3500.0,Petrol,Automatic
1264,Toyota,2006.0,Nigerian Used,341149.0,3500.0,Petrol,Automatic
1265,Toyota,2004.0,Nigerian Used,96072.0,4000.0,Petrol,Automatic
1266,Lexus,2005.0,Foreign Used,101051.0,3300.0,Petrol,Automatic
1268,Ford,2013.0,Foreign Used,150025.0,2000.0,Petrol,Automatic
1269,Toyota,2007.0,Foreign Used,184835.0,2400.0,Petrol,Automatic
1270,Hyundai,2013.0,Nigerian Used,102268.0,1800.0,Petrol,Automatic
1271,Acura,2006.0,Nigerian Used,114031.0,3500.0,Petrol,Automatic
1272,Toyota,2013.0,Nigerian Used,50411.0,1800.0,Petrol,Automatic
1273,Toyota,2007.0,Foreign Used,258598.0,1800.0,Petrol,Automatic
1275,Hyundai,2013.0,Nigerian Used,85345.0,2400.0,Petrol,Automatic
1276,Hyundai,2012.0,Nigerian Used,58248.0,2000.0,Petrol,Automatic
1277,Toyota,2013.0,Nigerian Used,50411.0,1800.0,Petrol,Automatic
1278,Hyundai,2011.0,Foreign Used,102194.0,1800.0,Petrol,Automatic
1279,Acura,2009.0,Nigerian Used,429408.0,3700.0,Petrol,Automatic
1280,Lexus,2006.0,Nigerian Used,310182.0,3000.0,Petrol,Automatic
1281,Lexus,2002.0,Foreign Used,427071.0,3000.0,Petrol,Automatic
1282,Toyota,2015.0,Foreign Used,62148.0,1800.0,Petrol,Automatic
1283,Lexus,2008.0,Nigerian Used,132323.0,3500.0,Petrol,Automatic
1284,Toyota,2009.0,Nigerian Used,196918.0,2400.0,Petrol,Automatic
1285,Toyota,2007.0,Nigerian Used,203882.0,3300.0,Petrol,Automatic
1287,Toyota,2010.0,Nigerian Used,133492.0,2400.0,Petrol,Automatic
1288,Toyota,2015.0,Nigerian Used,90272.0,2400.0,Petrol,Automatic
1289,Toyota,2006.0,Foreign Used,290415.0,3500.0,Petrol,Automatic
1290,Acura,2010.0,Nigerian Used,112020.0,3700.0,Petrol,Automatic
1291,Hyundai,2014.0,Nigerian Used,101951.0,2000.0,Petrol,Automatic
1294,Lexus,2008.0,Nigerian Used,213189.0,3500.0,Petrol,Automatic
1296,Toyota,2013.0,Foreign Used,195542.0,1800.0,Petrol,Automatic
1297,Toyota,2015.0,Foreign Used,46336.0,3500.0,Petrol,Automatic
1298,Ford,2010.0,Foreign Used,463172.0,3000.0,Petrol,Automatic
1299,Hyundai,2014.0,Foreign Used,122936.0,3800.0,Petrol,Automatic
1300,Ford,2007.0,Foreign Used,292069.0,3500.0,Petrol,Automatic
1301,Toyota,2004.0,Nigerian Used,165284.0,3300.0,Petrol,Automatic
1302,Pontiac,2007.0,Foreign Used,322537.0,3400.0,Petrol,Automatic
1303,Toyota,2007.0,Foreign Used,194783.0,2000.0,Petrol,Automatic
1305,Mercedes-Benz,2007.0,Foreign Used,305375.0,3500.0,Petrol,Automatic
1306,Toyota,2004.0,Nigerian Used,141882.0,3500.0,Petrol,Automatic
1307,Toyota,2010.0,Foreign Used,219320.0,1800.0,Petrol,Automatic
1308,Mercedes-Benz,2008.0,Nigerian Used,324323.0,4700.0,Petrol,Automatic
1309,Toyota,2012.0,Foreign Used,279251.0,1800.0,Petrol,Automatic
1310,Lexus,2004.0,Nigerian Used,120847.0,3300.0,Petrol,Automatic
1311,Lexus,2006.0,Nigerian Used,128350.0,2500.0,Petrol,Automatic
1312,Toyota,2005.0,Nigerian Used,94077.0,3300.0,Petrol,Automatic
1313,Mercedes-Benz,2006.0,Nigerian Used,13571.0,3400.0,Petrol,Automatic
1314,Toyota,2009.0,Nigerian Used,134528.0,3500.0,Petrol,Automatic
1315,Hummer,2005.0,Nigerian Used,139809.0,6000.0,Petrol,Automatic
1316,Lexus,2003.0,Nigerian Used,206338.0,3000.0,Petrol,Automatic
1317,Hyundai,2016.0,Nigerian Used,33844.0,2000.0,Petrol,Automatic
1318,Lexus,2005.0,Nigerian Used,148435.0,3000.0,Petrol,Automatic
1319,Hyundai,2015.0,Foreign Used,127274.0,5000.0,Petrol,Automatic
1320,Toyota,2008.0,Nigerian Used,45961.0,3500.0,Petrol,Automatic
1321,Toyota,2015.0,Foreign Used,46336.0,3500.0,Petrol,Automatic
1322,Ford,2010.0,Nigerian Used,248893.0,3500.0,Petrol,Automatic
1323,Lexus,2006.0,Nigerian Used,121412.0,3300.0,Petrol,Automatic
1324,Lexus,2002.0,Nigerian Used,218353.0,3000.0,Petrol,Automatic
1325,Dodge,2008.0,Nigerian Used,2870739.0,3500.0,Petrol,Automatic
1326,Toyota,2010.0,Foreign Used,185460.0,1800.0,Petrol,Automatic
1327,Lexus,2005.0,Nigerian Used,156418.0,3300.0,Petrol,Automatic
1328,Toyota,2006.0,Nigerian Used,96343.0,3500.0,Petrol,Automatic
1329,Toyota,2008.0,Nigerian Used,93578.0,3500.0,Petrol,Automatic
1330,Toyota,2008.0,Foreign Used,166063.0,2400.0,Petrol,Automatic
1331,Toyota,2009.0,Nigerian Used,216256.0,1800.0,Petrol,Automatic
1332,Chevrolet,2011.0,Foreign Used,175142.0,3600.0,Petrol,Automatic
1333,Toyota,2008.0,Foreign Used,306427.0,5700.0,Petrol,Automatic
1334,Toyota,2016.0,Foreign Used,76965.0,1800.0,Petrol,Automatic
1335,Chrysler,2013.0,Foreign Used,182823.0,2400.0,Petrol,Automatic
1336,Toyota,2002.0,Nigerian Used,215340.0,3000.0,Petrol,Automatic
1337,Toyota,2005.0,Nigerian Used,436987.0,1600.0,Petrol,Automatic
1338,Toyota,2007.0,Nigerian Used,203882.0,3300.0,Petrol,Automatic
1339,Land Rover,2009.0,Nigerian Used,128701.0,4400.0,Petrol,Automatic
1340,Chrysler,2015.0,Nigerian Used,57904.0,3600.0,Petrol,Automatic
1341,Acura,2010.0,Nigerian Used,112020.0,3700.0,Petrol,Automatic
1343,Lexus,2002.0,Foreign Used,427071.0,3000.0,Petrol,Automatic
1344,Toyota,2012.0,Foreign Used,279251.0,1800.0,Petrol,Automatic
1345,Toyota,2007.0,Nigerian Used,108179.0,2400.0,Petrol,Automatic
1346,Toyota,2005.0,Nigerian Used,245731.0,3300.0,Petrol,Automatic
1347,Mercedes-Benz,2008.0,Nigerian Used,324323.0,4700.0,Petrol,Automatic
1348,Toyota,2010.0,Foreign Used,90364.0,1800.0,Petrol,Automatic
1349,Toyota,2003.0,Nigerian Used,342633.0,4000.0,Petrol,Automatic
1350,Toyota,2009.0,Foreign Used,171795.0,1800.0,Petrol,Automatic
1351,Lexus,2002.0,Nigerian Used,170739.0,3300.0,Petrol,Automatic
1352,Chevrolet,2012.0,Nigerian Used,215704.0,2400.0,Petrol,Automatic
1354,Toyota,2012.0,Nigerian Used,96357.0,1800.0,Petrol,Automatic
1355,Toyota,2003.0,Foreign Used,321420.0,3000.0,Petrol,Automatic
1356,Lexus,2006.0,Foreign Used,210836.0,3000.0,Petrol,Automatic
1358,Ford,2007.0,Nigerian Used,209088.0,3500.0,Petrol,Automatic
1359,Toyota,2010.0,Foreign Used,85212.0,2500.0,Petrol,Automatic
1360,Ford,2010.0,Nigerian Used,248893.0,3500.0,Petrol,Automatic
1361,Toyota,2006.0,Nigerian Used,96343.0,3500.0,Petrol,Automatic
1362,Lexus,2005.0,Nigerian Used,57855.0,3300.0,Petrol,Automatic
1363,Toyota,2007.0,Nigerian Used,200280.0,2000.0,Petrol,Automatic
1366,Mercedes-Benz,2010.0,Nigerian Used,84345.0,3500.0,Petrol,Automatic
1367,Toyota,2011.0,Foreign Used,77646.0,2500.0,Petrol,Automatic
1368,Toyota,2016.0,Nigerian Used,49604.0,1800.0,Petrol,Automatic
1369,Infiniti,2006.0,Nigerian Used,169239.0,5600.0,Petrol,Automatic
1370,Toyota,2007.0,Nigerian Used,144602.0,3300.0,Petrol,Automatic
1372,Toyota,2007.0,Foreign Used,10199.0,3500.0,Petrol,Automatic
1373,Chevrolet,2009.0,Foreign Used,274542.0,3600.0,Petrol,Automatic
1374,Toyota,2007.0,Nigerian Used,285350.0,2400.0,Petrol,Automatic
1375,Hyundai,2011.0,Foreign Used,89090.0,2400.0,Petrol,Automatic
1376,Toyota,2008.0,Nigerian Used,318285.0,2400.0,Petrol,Automatic
1377,Toyota,2010.0,Nigerian Used,189739.0,2500.0,Petrol,Automatic
1378,Ford,2007.0,Nigerian Used,95227.0,3500.0,Petrol,Automatic
1379,Lexus,2003.0,Nigerian Used,122125.0,3000.0,Petrol,Automatic
1380,Toyota,2003.0,Nigerian Used,112583.0,3000.0,Petrol,Automatic
1382,Toyota,2011.0,Nigerian Used,248863.0,3500.0,Petrol,Automatic
1383,Toyota,2009.0,Nigerian Used,274265.0,2400.0,Petrol,Automatic
1385,Toyota,2005.0,Nigerian Used,245731.0,3300.0,Petrol,Automatic
1386,Kia,2005.0,Foreign Used,162872.0,3500.0,Petrol,Automatic
1387,Toyota,2011.0,Nigerian Used,135036.0,1800.0,Petrol,Automatic
1388,Lexus,2008.0,Foreign Used,149092.0,3500.0,Petrol,Automatic
1389,Toyota,2007.0,Nigerian Used,105517.0,3500.0,Petrol,Automatic
1390,Toyota,2009.0,Nigerian Used,143829.0,2700.0,Petrol,Automatic
1391,Toyota,2002.0,Nigerian Used,215340.0,3000.0,Petrol,Automatic
1392,Lexus,2005.0,Nigerian Used,268389.0,3000.0,Petrol,Automatic
1393,Toyota,2008.0,Nigerian Used,101224.0,3500.0,Petrol,Automatic
1394,Toyota,2007.0,Nigerian Used,201547.0,2700.0,Petrol,Automatic
1395,Ford,2012.0,Nigerian Used,114305.0,2500.0,Petrol,Automatic
1396,Nissan,2008.0,Foreign Used,113279.0,3500.0,Petrol,Automatic
1397,Toyota,2016.0,Nigerian Used,49604.0,1800.0,Petrol,Automatic
1398,Mercedes-Benz,2010.0,Nigerian Used,161785.0,3500.0,Petrol,Automatic
1399,Hyundai,2011.0,Foreign Used,89090.0,2400.0,Petrol,Automatic
1400,Lexus,2008.0,Nigerian Used,136552.0,2500.0,Petrol,Automatic
1401,Toyota,2017.0,Nigerian Used,99735.0,2400.0,Petrol,Automatic
1402,Ford,2007.0,Nigerian Used,95227.0,3500.0,Petrol,Automatic
1404,Lexus,2008.0,Foreign Used,149092.0,3500.0,Petrol,Automatic
1405,Toyota,2004.0,Nigerian Used,261074.0,2400.0,Petrol,Automatic
1406,Dodge,2004.0,Nigerian Used,396150.0,3700.0,Petrol,Automatic
1407,Toyota,2009.0,Nigerian Used,276128.0,1500.0,Hybrid,Automatic
1409,Toyota,2015.0,Nigerian Used,65786.0,3500.0,Petrol,Automatic
1410,Lexus,2007.0,Nigerian Used,241931.0,3500.0,Petrol,Automatic
1411,Hyundai,2011.0,Foreign Used,196330.0,1800.0,Petrol,Automatic
1412,Toyota,2011.0,Nigerian Used,115034.0,2700.0,Petrol,Automatic
1413,Toyota,2003.0,Nigerian Used,342633.0,4000.0,Petrol,Automatic
1414,Toyota,2007.0,Nigerian Used,333942.0,3500.0,Petrol,Automatic
1415,Ford,2013.0,Nigerian Used,99988.0,3500.0,Petrol,Automatic
1416,Toyota,2005.0,Foreign Used,140590.0,2400.0,Petrol,Automatic
1419,Lexus,2008.0,Nigerian Used,136552.0,2500.0,Petrol,Automatic
1420,Kia,2013.0,Nigerian Used,37455.0,3500.0,Petrol,Automatic
1421,Toyota,2009.0,Nigerian Used,269616.0,1800.0,Petrol,Automatic
1423,Toyota,2003.0,Foreign Used,308967.0,3000.0,Petrol,Automatic
1424,SsangYong,2009.0,Nigerian Used,155231.0,2400.0,Petrol,Automatic
1425,Toyota,2010.0,Foreign Used,189486.0,1800.0,Petrol,Automatic
1426,Lexus,2002.0,Nigerian Used,218353.0,3000.0,Petrol,Automatic
1427,Kia,2015.0,Nigerian Used,88662.0,3300.0,Petrol,Automatic
1428,Toyota,2007.0,Nigerian Used,312282.0,3500.0,Petrol,Automatic
1429,Toyota,2009.0,Nigerian Used,164957.0,3500.0,Petrol,Automatic
1430,Toyota,2012.0,Nigerian Used,179951.0,5700.0,Petrol,Automatic
1431,Toyota,2010.0,Foreign Used,163019.0,1800.0,Petrol,Automatic
1432,Toyota,2014.0,Nigerian Used,71601.0,1800.0,Petrol,Automatic
1433,Hyundai,2011.0,Nigerian Used,99145.0,1800.0,Petrol,Automatic
1434,Acura,2006.0,Nigerian Used,112158.0,3500.0,Petrol,Automatic
1435,Toyota,2010.0,Nigerian Used,188499.0,2500.0,Petrol,Automatic
1436,Toyota,2011.0,Nigerian Used,144248.0,2500.0,Petrol,Automatic
1437,Toyota,2009.0,Nigerian Used,1449691.0,1600.0,Petrol,Automatic
1438,Toyota,2003.0,Foreign Used,151679.0,1800.0,Petrol,Automatic
1439,Chevrolet,2008.0,Nigerian Used,221552.0,2400.0,Hybrid,Automatic
1440,Toyota,2010.0,Foreign Used,210366.0,2500.0,Petrol,Automatic
1441,Mercedes-Benz,2012.0,Nigerian Used,280907.0,3500.0,Petrol,Automatic
1442,Toyota,2013.0,Nigerian Used,76486.0,2400.0,Petrol,Automatic
1443,Toyota,2007.0,Nigerian Used,115055.0,2400.0,Petrol,Automatic
1444,Lexus,2002.0,Nigerian Used,221831.0,3000.0,Petrol,Automatic
1445,Toyota,2012.0,Nigerian Used,93685.0,1800.0,Petrol,Automatic
1446,Jeep,2007.0,Nigerian Used,75157.0,3700.0,Petrol,Automatic
1447,Kia,2012.0,Nigerian Used,145309.0,3500.0,Petrol,Automatic
1448,Toyota,2009.0,Nigerian Used,264799.0,2400.0,Petrol,Automatic
1449,Kia,2016.0,Foreign Used,77152.0,3000.0,Petrol,Automatic
1450,Hyundai,2010.0,Nigerian Used,112204.0,2200.0,Petrol,Automatic
1452,Toyota,2009.0,Nigerian Used,236354.0,2400.0,Petrol,Automatic
1453,Toyota,2004.0,Nigerian Used,261074.0,2400.0,Petrol,Automatic
1454,Lexus,2003.0,Nigerian Used,191482.0,3000.0,Petrol,Automatic
1455,Acura,2010.0,Nigerian Used,168926.0,3000.0,Petrol,Automatic
1456,Chevrolet,2014.0,Nigerian Used,87498.0,1600.0,Petrol,Automatic
1457,Toyota,2004.0,Nigerian Used,267928.0,3300.0,Petrol,Automatic
1458,Mercedes-Benz,2010.0,Foreign Used,53401.0,3500.0,Petrol,Automatic
1459,Lexus,2002.0,Nigerian Used,190875.0,3000.0,Petrol,Automatic
1460,Toyota,2015.0,Nigerian Used,65786.0,3500.0,Petrol,Automatic
1462,Toyota,2005.0,Foreign Used,279479.0,3000.0,Petrol,Automatic
1463,Toyota,2009.0,Nigerian Used,125589.0,2400.0,Petrol,Automatic
1464,Toyota,2009.0,Nigerian Used,234265.0,2400.0,Petrol,Automatic
1465,Toyota,2003.0,Nigerian Used,270359.0,4700.0,Petrol,Automatic
1466,Ford,2008.0,Nigerian Used,252855.0,3500.0,Petrol,Automatic
1467,Toyota,2008.0,Foreign Used,342589.0,1800.0,Petrol,Automatic
1468,Pontiac,2010.0,Nigerian Used,95122.0,1800.0,Petrol,Automatic
1469,Toyota,2014.0,Nigerian Used,77468.0,1800.0,Petrol,Automatic
1470,Ford,2013.0,Nigerian Used,31192.0,1600.0,Petrol,Automatic
1471,Kia,2012.0,Nigerian Used,145309.0,3500.0,Petrol,Automatic
1472,Toyota,2004.0,Nigerian Used,261065.0,3300.0,Petrol,Automatic
1473,Acura,2010.0,Nigerian Used,168926.0,3000.0,Petrol,Automatic
1474,Toyota,2007.0,Nigerian Used,87034.0,2400.0,Petrol,Automatic
1475,Toyota,2009.0,Nigerian Used,128309.0,2500.0,Petrol,Automatic
1476,Toyota,2006.0,Nigerian Used,395083.0,3300.0,Petrol,Automatic
1477,Toyota,2003.0,Nigerian Used,270359.0,4700.0,Petrol,Automatic
1478,Hyundai,2014.0,Nigerian Used,91219.0,2000.0,Petrol,Automatic
1479,Mercedes-Benz,2010.0,Nigerian Used,74039.0,3500.0,Petrol,Automatic
1480,Toyota,2009.0,Nigerian Used,125589.0,2400.0,Petrol,Automatic
1481,Toyota,2009.0,Nigerian Used,236354.0,2400.0,Petrol,Automatic
1482,Hyundai,2019.0,Nigerian Used,43168.0,1600.0,Petrol,Automatic
1483,Toyota,2008.0,Nigerian Used,318285.0,2400.0,Petrol,Automatic
1484,Toyota,2007.0,Nigerian Used,299527.0,2400.0,Petrol,Automatic
1485,Toyota,2013.0,Nigerian Used,194940.0,1800.0,Petrol,Automatic
1487,Toyota,2007.0,Nigerian Used,115055.0,2400.0,Petrol,Automatic
1488,Kia,2013.0,Nigerian Used,134013.0,3800.0,Petrol,Automatic
1489,Toyota,2008.0,Foreign Used,342589.0,1800.0,Petrol,Automatic
1490,Pontiac,2003.0,Nigerian Used,175447.0,1800.0,Petrol,Automatic
1491,Toyota,2003.0,Foreign Used,308967.0,3000.0,Petrol,Automatic
1492,Lexus,2002.0,Nigerian Used,180360.0,3300.0,Petrol,Automatic
1493,Toyota,2007.0,Nigerian Used,23909.0,2400.0,Petrol,Automatic
1494,Toyota,1998.0,Nigerian Used,188782.0,3000.0,Petrol,Automatic
1495,Toyota,2011.0,Nigerian Used,168744.0,3500.0,Petrol,Automatic
1496,Hyundai,2011.0,Foreign Used,289790.0,4600.0,Petrol,Automatic
1497,Mercedes-Benz,2010.0,Foreign Used,53401.0,3500.0,Petrol,Automatic
1498,Toyota,2009.0,Nigerian Used,11582.0,3500.0,Petrol,AMT
1499,Toyota,2008.0,Nigerian Used,105864.0,2400.0,Petrol,Automatic
1500,Kia,2005.0,Foreign Used,200156.0,2900.0,Diesel,Automatic
1501,Lexus,2006.0,Nigerian Used,214198.0,2500.0,Petrol,Automatic
1502,Toyota,2005.0,Foreign Used,140590.0,2400.0,Petrol,Automatic
1503,Kia,2010.0,Foreign Used,112196.0,2000.0,Petrol,Automatic
1504,Infiniti,2008.0,Nigerian Used,357754.0,3500.0,Petrol,Automatic
